Ticker,Momentum,Volatility,Beta,Sharpe,Momentum_Rank,Volatility_Rank,Beta_Rank,Sharpe_Rank,Quant_Score
300750.SZ,0.4793775518480141,0.35676276748479835,0.7874167730506635,1.7538950739149284,0.8363636363636363,0.38181818181818183,0.6909090909090909,0.990909090909091,0.8768181818181818
V,0.1884843371256426,0.21578987597168678,0.7186941839112218,1.0616802248404327,0.6181818181818182,0.9272727272727272,0.7363636363636363,0.9363636363636364,0.8677272727272727
NFLX,0.5799738006394548,0.3221072518038144,1.3820366591432185,1.612457796441605,0.8727272727272727,0.5363636363636364,0.40909090909090906,0.9818181818181818,0.8636363636363636
COCO,0.39425675425327467,0.4269338175064439,0.33229474876634807,1.2167002865046177,0.7727272727272727,0.2727272727272727,0.9090909090909091,0.9545454545454546,0.8545454545454546
MA,0.08821032823564301,0.2181061435353659,0.7646827104905008,1.4868255868665359,0.38181818181818183,0.9181818181818182,0.7090909090909091,0.9727272727272728,0.8522727272727273
HWM,0.8774739622374585,0.33647677332038634,1.5813331674267117,1.2561561380663262,0.9181818181818182,0.4727272727272728,0.3090909090909091,0.9636363636363636,0.8422727272727273
MCK,0.5303597893215177,0.22260535837251214,0.38217516762614573,0.7787505919565745,0.8545454545454545,0.9090909090909091,0.9,0.7909090909090909,0.8231818181818182
PLTR,2.96086258132422,0.6710890289730663,2.0719199412452363,1.796248720232942,0.9818181818181818,0.054545454545454564,0.11818181818181817,1.0,0.8145454545454546
GOOGL,0.5149289095822844,0.32100027566708267,1.0016544448692082,0.8716044080283886,0.8454545454545455,0.5454545454545454,0.6090909090909091,0.8454545454545455,0.7918181818181818
DORM,0.2326125205361722,0.32590100635735153,1.8333595831544154,1.1681887100968384,0.6727272727272727,0.5,0.2090909090909091,0.9454545454545454,0.7863636363636364
AME,0.10509387058521824,0.2229357077227453,0.9854013048740118,0.9183875056336269,0.45454545454545453,0.9,0.6181818181818182,0.8636363636363636,0.7813636363636365
PANW,0.13431759925582076,0.34660915128776765,1.1127142577873912,0.978599948916285,0.5181818181818182,0.40909090909090906,0.5545454545454546,0.9,0.7590909090909091
TDY,0.20305534103059997,0.22509723369704954,0.9207388463752395,0.7742574693094723,0.6363636363636364,0.8909090909090909,0.6636363636363636,0.7818181818181819,0.759090909090909
PLNT,0.13944617638221146,0.3178037898136333,1.3591686191151733,0.9728780313607449,0.5454545454545454,0.5545454545454546,0.4181818181818182,0.8909090909090909,0.7581818181818182
AVGO,1.0789641068902758,0.5753583076328244,0.9505618930868535,0.8499983223614194,0.9363636363636364,0.15454545454545454,0.6363636363636364,0.8272727272727273,0.7572727272727273
HIG,0.11176695414441551,0.21143702952966129,0.5328249705854472,0.7717435392279012,0.4818181818181818,0.9454545454545454,0.8454545454545455,0.7727272727272727,0.7536363636363637
TSLA,0.6332710527221339,0.6440930567367972,2.5309110264359407,1.0138963440464002,0.8909090909090909,0.08181818181818179,0.045454545454545414,0.9272727272727272,0.7490909090909091
AMZN,0.138436232897444,0.3427307430117423,1.5615810012343758,0.9878587437676232,0.5272727272727272,0.44545454545454544,0.32727272727272727,0.9090909090909091,0.7472727272727273
ROP,-0.0769826237551764,0.20960991623271857,0.6126853023064532,0.8127126704884341,0.22727272727272727,0.9545454545454546,0.7909090909090909,0.8181818181818182,0.7404545454545455
NVDA,0.29420799263127706,0.4897562714770796,2.2222577281795606,1.0090081239733628,0.7272727272727273,0.21818181818181814,0.09999999999999998,0.9181818181818182,0.7377272727272727
MSA,0.00038799962929614296,0.23416917762756329,0.938572841446419,0.8596046594004532,0.2818181818181818,0.8636363636363636,0.6454545454545455,0.8363636363636363,0.7368181818181818
BE,10.33891632151172,0.8796119642231433,5.117869817329206,0.9656511759254082,1.0,0.018181818181818188,0.0,0.8818181818181818,0.7250000000000001
LYV,0.2810099326431983,0.3039341411761122,1.4653521874243243,0.7855773909814361,0.7090909090909091,0.6090909090909091,0.3727272727272727,0.8,0.7245454545454546
JPM,0.35192817030944545,0.2363031565888721,1.1082802175287871,0.7322513447567205,0.7454545454545455,0.8545454545454545,0.5636363636363637,0.7090909090909091,0.7145454545454546
SMR,1.1654545177112925,1.1085253835025783,3.5943157504850007,0.9466735805297531,0.9454545454545454,0.009090909090909038,0.018181818181818188,0.8727272727272727,0.7118181818181818
IDCC,1.5508567495801038,0.39770229960986836,2.0279482471961696,0.76759661420251,0.9636363636363636,0.3363636363636363,0.12727272727272732,0.7636363636363637,0.6872727272727273
AWI,0.4539188853367231,0.2500343061929712,1.5360380394214177,0.6919444385372182,0.8272727272727273,0.7818181818181819,0.34545454545454546,0.6909090909090909,0.6859090909090909
ULTA,0.41362343982609917,0.3686920696886711,1.2507540541526163,0.747621529212946,0.8,0.36363636363636365,0.4636363636363636,0.7363636363636363,0.6813636363636364
WAB,0.01939191550124164,0.2805167634017486,0.9129483079582633,0.7643142868967281,0.33636363636363636,0.6909090909090909,0.6727272727272727,0.7545454545454545,0.6772727272727272
SO,0.10825585700430973,0.1735833761339023,0.18480454442813576,0.6642718954631242,0.4727272727272727,0.9818181818181818,0.9363636363636364,0.6363636363636364,0.6763636363636364
MSFT,0.20830511577487654,0.23907016746650603,1.0465402464537978,0.6756375469434063,0.6454545454545455,0.8363636363636364,0.5909090909090908,0.6636363636363637,0.6709090909090909
BSX,0.15361015001085088,0.22883211209809304,0.4291127435630467,0.6542742013185215,0.5636363636363636,0.8727272727272728,0.8909090909090909,0.6272727272727273,0.6686363636363637
RJF,0.09527112497803736,0.26037327210231914,1.2938693027829795,0.759405842075974,0.4090909090909091,0.7454545454545455,0.44545454545454544,0.7454545454545455,0.665
RMD,0.10337809271889875,0.26115397077741737,1.0525874628393963,0.7232741064741808,0.43636363636363634,0.7363636363636363,0.5727272727272728,0.7,0.6513636363636364
CRM,-0.15754155449550855,0.3290366740036621,1.6646698838903655,0.8766663152343036,0.13636363636363635,0.4818181818181818,0.26363636363636367,0.8545454545454545,0.6504545454545454
OLLI,0.3743721652697751,0.40557954328359497,1.018484174683459,0.6908353560864577,0.7545454545454545,0.31818181818181823,0.6,0.6818181818181818,0.6481818181818182
CAT,0.40179713107132087,0.3085353159355021,1.6546574182959466,0.6809217995963707,0.7909090909090909,0.5909090909090908,0.2727272727272727,0.6727272727272727,0.6422727272727273
TXRH,-0.0682155570217372,0.2760984027112859,1.196501544036856,0.7351744049113895,0.23636363636363636,0.7272727272727273,0.5,0.7181818181818181,0.625
SYK,0.046607555814861756,0.21388874424271564,0.7118931132495642,0.6520291714721734,0.35454545454545455,0.9363636363636364,0.7454545454545455,0.6181818181818182,0.6231818181818182
FLUT,0.10553100045803365,0.3515196072025167,1.3950256567234953,0.7386958655032357,0.4636363636363636,0.3909090909090909,0.3909090909090909,0.7272727272727273,0.6204545454545455
EXAS,-0.1162220293573828,0.4125795965463309,1.4741246426762271,0.7886503282305084,0.18181818181818182,0.30000000000000004,0.36363636363636365,0.8090909090909091,0.6195454545454545
VST,0.6559733200059068,0.6592890450738851,1.8988277798393,0.6681587535325363,0.9,0.0636363636363636,0.1636363636363637,0.6545454545454545,0.5831818181818182
COH.AX,0.019864284429191414,0.24451825670799973,0.7562582946712233,0.6098063166291907,0.34545454545454546,0.8090909090909091,0.7181818181818183,0.5727272727272728,0.5768181818181819
